id,"Business Address",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
98,"30 Brattle St","30 Brattle St",Cambridge,MA,,42.373149,-71.120665,1,rooftop,30,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
99,"149 First St","149 First St",Cambridge,MA,,42.366254,-71.078065,1,rooftop,149,"1st St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
100,"1776 Mass. Ave.","1776 Massachusetts Ave",Cambridge,MA,,42.385753,-71.11949,1,rooftop,1776,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
101,"356 Third St","356 Third St",Cambridge,MA,,42.363619,-71.083436,1,rooftop,356,"3rd St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
102,"57 JFK St.","57 JFK St.",Cambridge,MA,,42.372038,-71.120733,1,rooftop,57,"Jfk St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
103,"201 Alewife Brooke Pkwy","201 Alewife Brook Pkwy",Cambridge,MA,,42.390171,-71.142815,1,rooftop,201,"Alewife Brook Pkwy",,,Cambridge,MA,"Middlesex County",02138,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
104,"One Kendall Square","One Kendall Square",Cambridge,MA,,42.380442,-71.132947,0.33,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
105,"60 Binney Street","60 Binney Street",Cambridge,MA,,42.364928,-71.079124,1,rooftop,60,"Binney St",,,Cambridge,MA,"Middlesex County",02142,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
106,"1350 Mass. Ave.","1350 Massachusetts Ave",Cambridge,MA,,42.372971,-71.11848,1,rooftop,1350,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
107,"279A Broadway","279A Broadway",Cambridge,MA,,42.36815,-71.097765,0.9,rooftop,279-A,Broadway,Apt,A,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
108,"41 Bay State Rd.","41 Bay State Rd.",Cambridge,MA,,42.387415,-71.139624,1,rooftop,41,"Bay State Rd",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
109,"563 Mass. Ave.","563 Massachusetts Ave",Cambridge,MA,,42.364714,-71.102233,1,rooftop,563,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
110,"32 Church St","32 Church St",Cambridge,MA,,42.374308,-71.12024,1,rooftop,32,"Church St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
111,"625 Cambridge St","625 Cambridge St",Cambridge,MA,,42.372007,-71.086733,1,rooftop,625,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
112,"1105 Mass Ave","1105 Massachusetts Ave",Cambridge,MA,,42.370652,-71.11342,1,rooftop,1105,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
113,"1 Leighton St","1 Leighton St",Cambridge,MA,,42.370074,-71.073392,1,rooftop,1,"Leighton St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
114,"2512 Mass. Ave.","2512 Massachusetts Ave",Cambridge,MA,,42.399356,-71.132991,1,rooftop,2512,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
115,"All Locations","All Locations",Cambridge,MA,,42.380442,-71.132947,1,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
116,"1208 Mass. Ave","1208 Massachusetts Ave",Cambridge,MA,,42.371891,-71.115346,1,rooftop,1208,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
117,"36 Prospect St","36 Prospect St",Cambridge,MA,,42.366035,-71.10337,1,rooftop,36,"Prospect St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
119,"31 Brattle St","31 Brattle St",Cambridge,MA,,42.373512,-71.120822,1,rooftop,31,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
120,"1077 Mass. Ave","1077 Massachusetts Ave",Cambridge,MA,,42.370354,-71.113129,1,rooftop,1077,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
122,"781 Cambridge St","781 Cambridge St",Cambridge,MA,,42.372396,-71.089728,1,rooftop,781,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
123,"5 Pemberton St","5 Pemberton St",Cambridge,MA,,42.392354,-71.125294,1,rooftop,5,"Pemberton St",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
124,"2465 Mass. Ave.","2465 Massachusetts Ave",Cambridge,MA,,42.39883,-71.131705,1,rooftop,2465,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
125,"407 Concord Ave","407 Concord Ave",Cambridge,MA,,42.385891,-71.137996,1,rooftop,407,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
126,"100 Kirkland St.","100 Kirkland St.",Cambridge,MA,,42.377902,-71.10736,1,rooftop,100,"Kirkland St",,,Cambridge,MA,"Middlesex County",02138,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
127,"351 Broadway","351 Broadway",Cambridge,MA,,42.370418,-71.103514,1,rooftop,351,Broadway,,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
128,"468 Broadway","468 Broadway",Cambridge,MA,,42.37396,-71.113067,1,rooftop,468,Broadway,,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
129,"9 Brookline St.","9 Brookline St.",Cambridge,MA,,42.363788,-71.101715,1,rooftop,9,"Brookline St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
130,"One Broadway","One Broadway",Cambridge,MA,,42.380442,-71.132947,1,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
131,"414 Cambridge St","414 Cambridge St",Cambridge,MA,,42.37134,-71.083016,1,rooftop,414,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
132,"373 Huron Ave.","373 Huron Ave.",Cambridge,MA,,42.381258,-71.138905,1,rooftop,373,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
133,"1287 Cambridge St","1287 Cambridge St",Cambridge,MA,,42.373589,-71.098943,1,rooftop,1287,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
134,"1436 Mass Ave.","1436 Massachusetts Ave",Cambridge,MA,,42.374183,-71.11908,1,rooftop,1436,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
135,"1300 Mass Ave","1300 Massachusetts Ave",Cambridge,MA,,42.372825,-71.117255,1,rooftop,1300,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
136,"101 Main Street","101 Main Street",Cambridge,MA,,42.362219,-71.081584,1,rooftop,101,"Main St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
137,"233 Cardinal Medeiros Avenue","233 Cardinal Medeiros Avenue",Cambridge,MA,,42.367709,-71.091083,1,rooftop,233,"Cardinal Medeiros Ave",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
139,"2269 Mass. Ave.","2269 Massachusetts Ave",Cambridge,MA,,42.394762,-71.126962,1,rooftop,2269,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
140,"612 Main St","612 Main St",Cambridge,MA,,42.362876,-71.094125,1,rooftop,612,"Main St",,,Cambridge,MA,"Middlesex County",02139,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
141,"2346 Mass. Ave.","2346 Massachusetts Ave",Cambridge,MA,,42.396026,-71.128955,1,range_interpolation,2346,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"TIGER/Line® dataset from the US Census Bureau"
143,"12 Bow Street","12 Bow Street",Cambridge,MA,,42.371749,-71.11552,1,rooftop,12,"Bow St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
144,"1105 Massachusetts Ave","1105 Massachusetts Ave",Cambridge,MA,,42.370652,-71.11342,1,rooftop,1105,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
145,"Porter Square Shopping Mall","Porter Square Shopping Mall",Cambridge,MA,,42.38891,-71.119316,1,street_center,,"Porter Sq",,,Cambridge,MA,"Middlesex County",02140,US,"TIGER/Line® dataset from the US Census Bureau"
146,"201 Monsignore O'Brien Highway","201 Monsignore O'Brien Highway",Cambridge,MA,,42.37245,-71.079148,1,rooftop,201,"Monsignor Obrien Hwy",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
147,"59A Church Stt","59A Church St",Cambridge,MA,,42.37418,-71.121152,0.9,rooftop,59,"Church St",Apt,A,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
149,"215 First Street","215 First Street",Cambridge,MA,,42.364215,-71.078544,1,rooftop,215,"1st St",,,Cambridge,MA,"Middlesex County",02142,US,"City of Cambridge"
150,"259 Masschusetts Ave","259 Massachusetts Ave",Cambridge,MA,,42.361868,-71.097454,1,rooftop,259,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
151,"1773 Mass. Ave.","1773 Massachusetts Ave",Cambridge,MA,,42.385494,-71.119113,1,rooftop,1773,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
